148	-78	-10	550
149	-78	-8	1533
150	-77	-82	967
151	-77	-58	833
152	-77	-30	1630
153	-77	-11	767
154	-77	11	633
155	-77	41	516
156	-76	-87	766
157	-76	-77	1458
158	-76	-42	770
159	-75	64	800
160	-74	-86	2949
161	-74	-71	771
162	-74	-48	850
163	-74	-31	733
164	-74	-17	600
165	-74	-8	616
166	-74	12	615
167	-73	-64	884
168	-73	-63	1724
169	-73	-34	683
170	-73	-21	700
171	-73	22	1050
172	-73	24	705
173	-73	60	656
174	-73	81	733
175	-72	-95	967
176	-72	-81	951
177	-72	-65	1633
178	-72	-62	684
179	-72	-47	733
180	-71	-92	1017
181	-71	-49	733
182	-71	-7	633
183	-71	36	667
184	-71	97	1068
185	-70	-89	817
186	-70	-49	666
187	-69	-91	1770
188	-69	1	967
189	-69	48	767
190	-68	-68	833
191	-68	5	567
192	-68	47	1348
193	-68	71	1600
194	-68	83	800
195	-68	90	900
196	-67	-89	1033
197	-67	-50	1214
198	-67	-45	733
199	-67	-40	833
200	-67	-37	771
201	-67	22	800
202	-67	93	1600
203	-66	-76	817
204	-66	32	633
205	-66	73	566
206	-65	-71	898
207	-65	27	617
208	-65	44	633
209	-65	70	566
210	-65	95	817
211	-65	96	1000
212	-64	-85	2683
213	-64	-22	883
214	-64	-7	1001
215	-64	21	600
216	-64	23	1067
217	-64	29	632
218	-64	45	767
219	-64	62	1216
220	-64	65	567
221	-64	77	766
222	-63	-91	1100
223	-63	-85	1167
224	-63	-82	766
225	-63	-45	1017
226	-63	-43	767
227	-63	-19	632
228	-63	-15	733
229	-63	-7	800
230	-63	1	633
231	-63	4	700
232	-63	35	701
233	-63	81	867
234	-63	96	1700
235	-62	-77	903
236	-62	45	1517
237	-62	57	934
238	-62	83	1968
239	-61	-13	550
240	-61	-7	640
241	-61	1	800
242	-61	58	733
243	-61	60	633
244	-60	-39	933
245	-60	37	656
246	-60	43	633
247	-60	45	733
248	-59	-76	1300
249	-59	-76	1378
250	-59	-26	700
251	-59	-21	583
252	-59	35	1132
253	-59	38	1700
254	-59	73	864
255	-58	-68	667
256	-58	-52	966
257	-58	-51	871
258	-58	23	750
259	-58	36	533
260	-58	98	815
261	-57	-99	2233
262	-57	-43	550
263	-57	-19	583
264	-57	-4	866
265	-57	68	656
266	-57	91	1000
267	-56	-48	900
268	-56	-31	616
269	-56	19	600
270	-56	35	567
271	-56	66	673
272	-56	73	800
273	-56	76	782
274	-55	-98	1134
275	-55	-78	1201
276	-55	-69	1099
277	-54	-43	733
278	-54	-33	615
279	-54	24	1034
280	-54	51	800
281	-53	-74	767
282	-53	-28	533
283	-53	34	617
284	-53	53	1167
285	-53	91	783
286	-52	-96	1933
287	-52	-35	533
288	-52	-8	667
289	-52	10	525
290	-52	33	600
291	-52	43	616
292	-52	77	999
293	-51	18	443
294	-51	42	533
295	-51	74	909
296	-50	-71	936
297	-50	-23	567
298	-50	3	607
299	-50	77	833
300	-50	87	1549
301	-49	-89	1067
302	-49	-41	1317
303	-49	28	1316
304	-49	69	767
305	-49	100	800
306	-48	-100	1300
307	-48	-76	717
308	-48	-30	532
309	-48	22	767
310	-48	39	1483
311	-47	-92	1199
312	-47	-66	803
313	-47	-37	1367
314	-47	35	1050
315	-47	51	750
316	-47	59	567
317	-47	81	683
318	-46	-38	1616
319	-46	-16	509
320	-46	77	738
321	-46	84	582
322	-46	85	1132
323	-45	-84	771
324	-45	-74	700
325	-45	-34	700
326	-45	35	542
327	-45	55	767
328	-45	60	617
329	-45	99	1133
330	-44	-91	1197
331	-44	-83	867
332	-44	-40	683
333	-44	-26	1099
334	-44	9	574
335	-44	12	1649
336	-44	81	717
337	-44	85	800
338	-43	-98	1951
339	-43	-91	767
340	-43	-81	1212
341	-43	-74	767
342	-43	-70	1167
343	-43	-69	867
344	-43	-56	733
345	-43	-40	1000
346	-43	-34	466
347	-43	-25	1147
348	-43	12	640
349	-43	19	583
350	-43	34	983
351	-43	62	1460
352	-43	81	2364
353	-43	84	500
354	-43	87	1278
355	-42	-63	804
356	-42	-44	828
357	-42	-28	674
358	-42	-13	600
359	-42	85	1446
360	-41	-77	734
361	-41	-64	733
362	-41	51	633
363	-41	98	672
364	-40	-98	833
365	-40	-98	934
366	-40	-47	804
367	-40	-24	567
368	-40	-8	583
369	-40	74	739
370	-39	-75	1250
371	-39	-64	1034
372	-39	-33	606
373	-39	-11	667
374	-39	-5	1116
375	-39	5	1434
376	-39	17	1883
377	-39	38	700
378	-39	70	667
379	-38	-42	733
380	-38	-32	624
381	-38	-15	983
382	-38	25	739
383	-37	-99	950
384	-37	-86	1250
385	-37	-75	967
386	-37	-46	655
387	-37	-38	492
388	-37	-17	507
389	-37	4	533
390	-37	5	683
391	-37	12	598
392	-37	52	583
393	-37	55	836
394	-37	86	1049
395	-36	-64	800
396	-36	51	600
397	-36	78	2310
398	-35	-73	800
399	-35	-71	730
400	-35	-7	698
401	-35	48	656
402	-35	81	901
403	-34	-65	699
404	-34	-5	550
405	-34	65	788
406	-33	-23	567
407	-33	12	599
408	-33	19	575
409	-33	32	633
410	-33	32	574
411	-33	42	848
412	-33	42	706
413	-33	54	717
414	-33	81	1383
415	-32	-81	903
416	-32	-34	667
417	-32	-19	500
418	-32	-14	600
419	-32	3	583
420	-32	22	476
421	-32	94	767
422	-31	-98	983
423	-31	-98	1217
424	-31	-85	1331
425	-31	-51	633
426	-31	-46	1367
427	-31	22	717
428	-31	24	667
429	-31	38	1517
430	-31	67	500
431	-31	78	869
432	-31	82	766
433	-30	-100	1517
434	-30	-98	870
435	-30	-78	699
436	-30	-68	2050
437	-30	-50	633
438	-30	-44	689
439	-30	-33	509
440	-30	-8	583
441	-30	31	667
442	-30	47	533
443	-30	48	967
444	-30	61	833
445	-30	62	800
446	-30	62	1067
447	-30	100	1548
448	-29	-85	1033
449	-29	-29	533
450	-29	19	549
451	-29	28	533
452	-29	55	600
453	-28	-84	1146
454	-28	-66	771
455	-28	-57	617
456	-28	-5	799
457	-28	-3	600
458	-28	38	639
459	-28	52	750
460	-27	-70	936
461	-27	-37	1133
462	-27	-13	475
463	-27	61	633
464	-27	72	667
465	-26	-42	935
466	-26	-35	817
467	-26	-34	721
468	-26	-31	667
469	-26	-5	567
470	-26	39	683
471	-26	58	1294
472	-26	68	633
473	-26	70	833
474	-25	-100	1333
475	-24	-99	1066
476	-24	-81	1034
477	-24	-34	1033
478	-24	10	532
479	-24	45	803
480	-24	59	650
481	-24	83	3284
482	-23	-96	733
483	-23	-86	1684
484	-23	-69	967
485	-23	-44	699
486	-23	-39	483
487	-22	-24	534
488	-22	4	533
489	-22	46	867
490	-21	-95	1464
491	-21	-42	936
492	-21	-30	717
493	-21	-16	633
494	-21	-8	541
495	-21	19	899
496	-21	32	467
497	-21	33	567
498	-21	35	750
499	-21	74	867
500	-20	-90	1000
501	-20	-56	783
502	-20	-25	600
503	-20	-20	600
504	-20	9	717
505	-20	89	933
506	-20	96	1000
507	-19	-92	900
508	-19	-53	804
509	-19	-35	574
510	-19	-2	633
511	-18	-47	672
512	-18	-46	706
513	-18	-35	783
514	-18	-5	574
515	-17	-65	2103
516	-17	-53	748
517	-17	16	650
518	-17	51	567
519	-17	53	968
520	-16	-98	739
521	-16	-87	767
522	-16	-82	1283
523	-16	-80	640
524	-16	-41	983
525	-16	-31	867
526	-16	-23	632
527	-16	-6	1799
528	-16	22	967
529	-16	42	650
530	-16	82	783
531	-15	-100	1541
532	-15	-93	1533
533	-15	-81	866
534	-15	-57	837
535	-15	12	533
536	-15	60	667
537	-15	93	1346
538	-14	-38	837
